"filename", "language", "JSON with Comments", "TypeScript", "XML", "TypeScript JSX", "JSON", "Markdown", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\README.md", "Markdown", 0, 0, 0, 0, 0, 72, 0, 0, 0, 56, 128
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\app\QueryProvider.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\app\animation\Bouncy.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\app\animation\CrossLine.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\app\animation\DrawLine.tsx", "TypeScript JSX", 0, 0, 0, 76, 0, 0, 0, 0, 0, 4, 80
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\app\animation\FadeIn.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\app\animation\ShowTip.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 1, 4, 27
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\app\animation\SvgLine.tsx", "TypeScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 32
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\app\animation\constants.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 6, 55
